Entry: 2025-07-14 09:59:00, Exit: 2025-07-14 11:00:00, Direction: LONG, Entry Price: 57050.0, Exit Price: 56890.0, Exit Reason: fixed_sl, Result: LOSS, P/L: -160.0
Entry: 2025-07-14 10:47:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56924.8, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -112.40000000000146
Entry: 2025-07-14 10:51:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56910.0, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -97.59999999999854
Entry: 2025-07-14 10:52:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56912.0, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -99.59999999999854
Entry: 2025-07-14 10:53:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56914.2, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -101.79999999999563
Entry: 2025-07-14 10:54:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56902.2, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -89.79999999999563
Entry: 2025-07-14 10:55:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56912.0, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -99.59999999999854
Entry: 2025-07-14 10:59:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56895.2, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -82.79999999999563
Entry: 2025-07-14 11:00:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56890.0, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -77.59999999999854
Entry: 2025-07-14 11:18:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56872.0, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -59.599999999998545
Entry: 2025-07-14 11:21:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56856.0, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -43.599999999998545
Entry: 2025-07-14 11:22:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56851.8, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -39.400000000001455
Entry: 2025-07-14 11:23:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56860.0, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -47.599999999998545
Entry: 2025-07-14 11:24:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56840.2, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -27.799999999995634
Entry: 2025-07-14 11:25:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56841.4, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -29.0
Entry: 2025-07-14 11:26:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56832.8, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -20.400000000001455
Entry: 2025-07-14 11:27:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56842.4, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: -30.0
Entry: 2025-07-14 11:28:00, Exit: 2025-07-14 11:28:00, Direction: LONG, Entry Price: 56812.4, Exit Price: 56812.4, Exit Reason: final_close, Result: LOSS, P/L: 0.0
