Entry: 2025-07-04 10:43:00, Exit: 2025-07-04 11:43:00, Entry Level: 57124.00, Exit Level: 57001.40, Reason: conf_short_exit, Result: LOSS, P/L: -122.60
Entry: 2025-07-04 10:44:00, Exit: 2025-07-04 11:43:00, Entry Level: 57133.00, Exit Level: 57001.40, Reason: conf_short_exit, Result: LOSS, P/L: -131.60
Entry: 2025-07-04 10:46:00, Exit: 2025-07-04 11:43:00, Entry Level: 57132.40, Exit Level: 57001.40, Reason: conf_short_exit, Result: LOSS, P/L: -131.00
Entry: 2025-07-04 10:58:00, Exit: 2025-07-04 11:43:00, Entry Level: 57136.80, Exit Level: 57001.40, Reason: conf_short_exit, Result: LOSS, P/L: -135.40
Entry: 2025-07-04 13:22:00, Exit: 2025-07-04 13:51:00, Entry Level: 57011.00, Exit Level: 57067.80, Reason: fixed_tp, Result: WIN, P/L: 56.80
Entry: 2025-07-04 13:24:00, Exit: 2025-07-04 13:52:00, Entry Level: 57019.80, Exit Level: 57079.00, Reason: fixed_tp, Result: WIN, P/L: 59.20
Entry: 2025-07-04 13:25:00, Exit: 2025-07-04 13:52:00, Entry Level: 57025.20, Exit Level: 57079.00, Reason: fixed_tp, Result: WIN, P/L: 53.80
Entry: 2025-07-04 13:26:00, Exit: 2025-07-04 13:52:00, Entry Level: 57025.60, Exit Level: 57079.00, Reason: fixed_tp, Result: WIN, P/L: 53.40
Entry: 2025-07-04 13:27:00, Exit: 2025-07-04 13:52:00, Entry Level: 57025.00, Exit Level: 57079.00, Reason: fixed_tp, Result: WIN, P/L: 54.00
Entry: 2025-07-04 13:28:00, Exit: 2025-07-04 13:52:00, Entry Level: 57026.00, Exit Level: 57079.00, Reason: fixed_tp, Result: WIN, P/L: 53.00
Entry: 2025-07-04 13:29:00, Exit: 2025-07-04 13:52:00, Entry Level: 57020.20, Exit Level: 57079.00, Reason: fixed_tp, Result: WIN, P/L: 58.80
Entry: 2025-07-04 13:30:00, Exit: 2025-07-04 13:52:00, Entry Level: 57025.00, Exit Level: 57079.00, Reason: fixed_tp, Result: WIN, P/L: 54.00
Entry: 2025-07-07 09:25:00, Exit: 2025-07-07 09:35:00, Entry Level: 57205.00, Exit Level: 57269.60, Reason: fixed_tp, Result: WIN, P/L: 64.60
Entry: 2025-07-07 09:21:00, Exit: 2025-07-07 10:06:00, Entry Level: 57273.60, Exit Level: 57111.00, Reason: fixed_sl, Result: LOSS, P/L: -162.60
Entry: 2025-07-07 09:22:00, Exit: 2025-07-07 10:06:00, Entry Level: 57275.80, Exit Level: 57111.00, Reason: fixed_sl, Result: LOSS, P/L: -164.80
