Entry: 2025-07-14 12:21:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56879.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -13.599999999998545
Entry: 2025-07-14 12:22:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56875.4, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -9.80000000000291
Entry: 2025-07-14 12:23:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56872.6, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -7.0
Entry: 2025-07-14 12:31:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56877.8, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -12.200000000004366
Entry: 2025-07-14 12:32:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56870.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -4.400000000001455
Entry: 2025-07-14 12:47:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56895.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -29.599999999998545
Entry: 2025-07-14 12:48:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56890.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -24.599999999998545
Entry: 2025-07-14 12:49:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56890.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -24.400000000001455
Entry: 2025-07-14 12:50:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56880.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -14.599999999998545
Entry: 2025-07-14 12:51:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56885.8, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -20.200000000004366
Entry: 2025-07-14 12:52:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56905.0, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -39.400000000001455
Entry: 2025-07-14 12:53:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56898.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -32.599999999998545
Entry: 2025-07-14 12:54:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56890.2, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -24.599999999998545
Entry: 2025-07-14 12:55:00, Exit: 2025-07-14 14:28:00, Direction: LONG, Entry Price: 56869.6, Exit Price: 56865.6, Exit Reason: final_close, Result: LOSS, P/L: -4.0
