trade_number,direction,confidence,instrument,quantity,entry_price_option,exit_price_option,result,pnl,entry_time,exit_time,exit_reason
2,LONG,0.8399999737739563,CNXBAN57000CE,35,852.6,970.0,WIN,4109.0,2025-07-07 10:44:04,2025-07-07 11:00:09,TP
4,LONG,0.8773999810218811,CNXBAN57000CE,35,856.6,837.0,LOSS,-686.0,2025-07-07 10:50:04,2025-07-07 12:11:05,SL
5,LONG,0.8194000124931335,CNXBAN57000CE,35,871.05,828.1,LOSS,-1503.25,2025-07-07 10:52:05,2025-07-07 12:17:09,SL
6,LONG,0.8560000061988831,CNXBAN56900CE,35,904.1,902.05,LOSS,-71.75,2025-07-07 12:40:04,2025-07-07 12:40:09,TP
7,LONG,0.8485000133514404,CNXBAN56900CE,35,907.05,886.6,LOSS,-715.75,2025-07-07 12:41:04,2025-07-07 12:57:05,SL
1,LONG,0.8730000257492065,CNXBAN57000CE,35,853.55,858.0,WIN,155.75,2025-07-07 10:43:04,2025-07-07 15:13:07,EOD
8,LONG,0.8748999834060669,CNXBAN56900CE,35,879.1,913.4,WIN,1200.5,2025-07-07 12:58:04,2025-07-07 15:13:09,EOD
3,LONG,0.8503000140190125,CNXBAN57100CE,35,861.75,855.05,LOSS,-234.5,2025-07-08 13:54:03,2025-07-08 13:59:05,SL
1,LONG,0.8535000085830688,CNXBAN57100CE,35,854.75,895.8,WIN,1436.75,2025-07-08 12:00:04,2025-07-08 15:01:05,TP
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 14:51:15,2025-07-09 14:51:16,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 14:55:56,2025-07-09 14:55:58,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 15:00:36,2025-07-09 15:00:37,EOD
1,LONG,0.9,CNXBAN57200CE,35,796.75,794.9,LOSS,-64.75,2025-07-09 15:04:06,2025-07-09 15:04:11,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 15:06:35,2025-07-09 15:06:36,EOD
1,LONG,0.9,CNXBAN100CE,35,10.0,15.0,WIN,175.0,2025-07-09 15:18:01,2025-07-09 15:18:02,EOD
1,SHORT,0.6492999792098999,CNXBAN56700PE,35,534.4,533.45,LOSS,,2025-07-11 10:42:29,2025-07-11 10:42:32,FIXED_SL
2,SHORT,0.5730999708175659,CNXBAN56700PE,35,534.65,532.5,LOSS,,2025-07-11 10:42:31,2025-07-11 10:42:40,FIXED_SL
3,LONG,0.8668000102043152,CNXBAN56700CE,35,763.5,763.3,LOSS,,2025-07-11 10:42:35,2025-07-11 10:42:43,FIXED_TP
4,LONG,0.852400004863739,CNXBAN56700CE,35,764.0,764.1,WIN,,2025-07-11 10:42:39,2025-07-11 10:42:52,FIXED_TP
5,LONG,0.8668000102043152,CNXBAN56700CE,35,737.45,733.4,LOSS,,2025-07-11 10:45:27,2025-07-11 10:45:32,FIXED_TP
1,LONG,0.6797000169754028,CNXBAN56700CE,35,748.5,752.15,WIN,,2025-07-11 11:12:30,2025-07-11 11:12:38,FIXED_TP
2,LONG,0.8996000289916992,CNXBAN56700CE,35,735.0,733.95,LOSS,,2025-07-11 11:22:03,2025-07-11 11:22:08,FIXED_TP
3,LONG,0.9222000241279602,CNXBAN56700CE,35,730.0,754.1,WIN,,2025-07-11 11:28:18,2025-07-11 11:32:05,FIXED_TP
1,LONG,,CNXBAN56800CE,35,700.4,726.85,WIN,,2025-07-14 10:06:09,2025-07-14 10:16:03,FIXED_TP
2,LONG,,CNXBAN56800CE,35,731.75,632.4,LOSS,,2025-07-14 10:10:05,2025-07-14 11:25:06,FIXED_SL
3,LONG,,CNXBAN56800CE,35,708.75,626.2,LOSS,,2025-07-14 10:36:05,2025-07-14 11:27:02,FIXED_SL
8,LONG,,CNXBAN56600CE,35,726.4,746.5,WIN,,2025-07-14 11:54:04,2025-07-14 12:09:07,FIXED_TP
6,LONG,,CNXBAN56600CE,35,729.5,744.0,WIN,,2025-07-14 11:46:07,2025-07-14 12:11:05,FIXED_TP
7,LONG,,CNXBAN56600CE,35,738.1,761.0,WIN,,2025-07-14 11:51:07,2025-07-14 12:19:08,FIXED_TP
11,LONG,,CNXBAN56600CE,35,725.2,744.85,WIN,,2025-07-14 14:03:05,2025-07-14 14:25:11,FIXED_TP
10,LONG,0.869516650835673,CNXBAN56600CE,35,741.9,761.2,WIN,,2025-07-14 13:53:44,2025-07-14 14:45:13,FIXED_TP
